key,datasetKey,publishingOrgKey,installationKey,hostingOrganizationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,scientificName,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,startDayOfYear,endDayOfYear,issues,modified,lastInterpreted,references,license,isSequenced,identifiers,media,facts,relations,isInCluster,datasetName,recordedBy,identifiedBy,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,gbifRegion,country,publishedByGbifRegion,rightsHolder,identifier,informationWithheld,http://unknown.org/nick,verbatimEventDate,verbatimLocality,collectionCode,gbifID,occurrenceID,taxonID,catalogNumber,institutionCode,eventTime,http://unknown.org/captive,identificationID,extensions.http://rs.gbif.org/terms/1.0/Multimedia,gadm.level0.gid,gadm.level0.name,gadm.level1.gid,gadm.level1.name,gadm.level2.gid,gadm.level2.name,gadm.level3.gid,gadm.level3.name,individualCount,vernacularName,taxonConceptID,locality,county,identificationRemarks,sex,preparations,nomenclaturalCode,fieldNotes,verbatimElevation,behavior,higherClassification,extensions.http://rs.tdwg.org/ac/terms/Multimedia,distanceFromCentroidInMeters,associatedTaxa,lifeStage,occurrenceRemarks
4875314160,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2024-08-06T22:43:31.419+00:00,2024-08-08T03:40:21.272+00:00,478,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,2024-06-02T03:11:30,35.41408,126.932191,28677.0,ASIA,Jeollabuk-do,2024,6,1,2024-06-01T15:42:13,153,153,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']",2024-07-19T01:13:14.000+00:00,2024-08-08T03:40:21.272+00:00,https://www.inaturalist.org/observations/219908707,http://creativecommons.org/licenses/by-nc/4.0/legalcode,False,[{'identifier': '219908707'}],"[{'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/389288060', 'created': '2024-06-01T22:41:52.000+00:00', 'creator': 'Hyun Kim', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'rightsHolder': 'Hyun Kim', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/389288060/original.jpeg'}, {'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/389288091', 'created': '2024-06-01T22:41:43.000+00:00', 'creator': 'Hyun Kim', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'rightsHolder': 'Hyun Kim', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/389288091/original.jpeg'}, {'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/389287978', 'created': '2024-06-01T22:42:13.000+00:00', 'creator': 'Hyun Kim', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'rightsHolder': 'Hyun Kim', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/389287978/original.jpeg'}, {'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/389288124', 'created': '2024-06-01T22:41:32.000+00:00', 'creator': 'Hyun Kim', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'rightsHolder': 'Hyun Kim', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/389288124/original.jpeg'}, {'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/389288018', 'created': '2024-06-01T22:41:59.000+00:00', 'creator': 'Hyun Kim', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'rightsHolder': 'Hyun Kim', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/389288018/original.jpeg'}]",[],[],False,iNaturalist research-grade observations,Hyun Kim,Hyun Kim,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",NORTH_AMERICA,Hyun Kim,219908707,Coordinate uncertainty increased to 28677m to protect threatened taxon,hyunkim969,2024-06-01 15:42:13,"Jeollabuk-do, KR",Observations,4875314160,https://www.inaturalist.org/observations/219908707,14458,219908707,iNaturalist,15:42:13+09:00,wild,495404060,"[{'http://purl.org/dc/terms/creator': 'Hyun Kim', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '389287978', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2024-06-01T15:42:13-07:00', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'Hyun Kim', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/389287978/original.jpeg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/389287978'}, {'http://purl.org/dc/terms/creator': 'Hyun Kim', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '389288018', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2024-06-01T15:41:59-07:00', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'Hyun Kim', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/389288018/original.jpeg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/389288018'}, {'http://purl.org/dc/terms/creator': 'Hyun Kim', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '389288060', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2024-06-01T15:41:52-07:00', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'Hyun Kim', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/389288060/original.jpeg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/389288060'}, {'http://purl.org/dc/terms/creator': 'Hyun Kim', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '389288091', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2024-06-01T15:41:43-07:00', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'Hyun Kim', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/389288091/original.jpeg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/389288091'}, {'http://purl.org/dc/terms/creator': 'Hyun Kim', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '389288124', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2024-06-01T15:41:32-07:00', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'Hyun Kim', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/389288124/original.jpeg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/389288124'}]",KOR,South Korea,KOR.13_1,Jeollabuk-do,KOR.13.13_2,Sunchang,KOR.13.13.1_2,Bokheung,,,,,,,,,,,,,,,,,,
4901794093,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2024-08-06T22:43:31.419+00:00,2024-08-08T04:08:48.537+00:00,478,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,2024-06-25T13:02:05,33.214901,126.410448,28984.0,ASIA,Jeju,2024,6,25,2024-06-25T10:09,177,177,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']",2024-06-25T13:52:09.000+00:00,2024-08-08T04:08:48.537+00:00,https://www.inaturalist.org/observations/225086199,http://creativecommons.org/licenses/by-nc/4.0/legalcode,False,[{'identifier': '225086199'}],"[{'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/399027791', 'created': '2024-06-25T17:09:27.000+00:00', 'creator': 'lhurteau', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'rightsHolder': 'lhurteau', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/399027791/original.jpg'}]",[],[],False,iNaturalist research-grade observations,lhurteau,lhurteau,WGS84,Aves,KR,"[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-7511-0595'}]","[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-7511-0595'}]",ASIA,"Korea, Republic of",NORTH_AMERICA,lhurteau,225086199,Coordinate uncertainty increased to 28984m to protect threatened taxon,lhurteau,2024/06/25 10:09 AM,"Seogwipo, KR-CJ, KR",Observations,4901794093,https://www.inaturalist.org/observations/225086199,14458,225086199,iNaturalist,10:09:00+09:00,wild,505801604,"[{'http://purl.org/dc/terms/creator': 'lhurteau', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '399027791', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2024-06-25T10:09:27-07:00', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'lhurteau', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/399027791/original.jpg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/399027791'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
4126765284,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2024-08-06T22:43:31.419+00:00,2024-08-08T04:00:56.691+00:00,478,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,2023-05-27T06:38:26,33.203139,126.725144,28984.0,,Jeju,2023,5,27,2023-05-27T13:33:36,147,147,"['COORDINATE_ROUNDED', 'TAXON_MATCH_TAXON_ID_IGNORED']",2023-05-27T23:47:22.000+00:00,2024-08-08T04:00:56.691+00:00,https://www.inaturalist.org/observations/163942052,http://creativecommons.org/licenses/by-nc/4.0/legalcode,False,[{'identifier': '163942052'}],"[{'type': 'Sound', 'format': 'audio/mp4', 'references': 'https://www.inaturalist.org/sounds/713835', 'created': '2023-05-27T06:38:30.000+00:00', 'creator': 'lhurteau', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'rightsHolder': 'lhurteau', 'identifier': 'https://static.inaturalist.org/sounds/713835.m4a?1685169510'}]",[],[],False,iNaturalist research-grade observations,lhurteau,lhurteau,WGS84,Aves,KR,"[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-7511-0595'}]","[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-7511-0595'}]",ASIA,"Korea, Republic of",NORTH_AMERICA,lhurteau,163942052,Coordinate uncertainty increased to 28984m to protect threatened taxon,lhurteau,2023-05-27 13:33:36+09:00,"Jeju, KR",Observations,4126765284,https://www.inaturalist.org/observations/163942052,14458,163942052,iNaturalist,13:33:36+09:00,wild,367773547,"[{'http://purl.org/dc/terms/creator': 'lhurteau', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '713835', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'Sound', 'http://purl.org/dc/terms/format': 'audio/mp4', 'http://purl.org/dc/terms/created': '2023-05-27T06:38:30Z', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'lhurteau', 'http://purl.org/dc/terms/identifier': 'https://static.inaturalist.org/sounds/713835.m4a?1685169510', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/sounds/713835'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
4672243455,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T09:27:57.133+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,35.360077,127.98772,,ASIA,Kyongsangnam-do,2023,5,20,2023-05-20,140,140,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T09:27:57.133+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1733072144'}],[],[],[],False,,obsr429788,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1733072144,,,,,EBIRD,4672243455,URN:catalog:CLO:EBIRD:OBS1733072144,,OBS1733072144,CLO,,,,,KOR,South Korea,KOR.10_1,Gyeongsangnam-do,KOR.10.15_2,Sancheong,KOR.10.15.10_2,Sinan,1.0,Fairy Pitta,avibase-0ECBA406,Dandelion Community,,,,,,,,,,,,,,
4831590768,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T09:45:35.469+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,34.483276,126.61437,,ASIA,Jeonranamdo,2023,5,27,2023-05-27,147,147,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T09:45:35.469+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1741740361'}],[],[],[],False,,obsr85992,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1741740361,,,,,EBIRD,4831590768,URN:catalog:CLO:EBIRD:OBS1741740361,,OBS1741740361,CLO,,,,,KOR,South Korea,KOR.14_1,Jeollanam-do,KOR.14.8_2,Haenam,KOR.14.8.12_2,Samsan,2.0,Fairy Pitta,avibase-0ECBA406,Duryunsan Provincial Park,,,,,,,,,,,,,,
4843340326,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T08:41:50.395+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,34.483276,126.61437,,ASIA,Jeonranamdo,2023,5,27,2023-05-27,147,147,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T08:41:50.395+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1741744289'}],[],[],[],False,,obsr567229,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1741744289,,,,,EBIRD,4843340326,URN:catalog:CLO:EBIRD:OBS1741744289,,OBS1741744289,CLO,,,,,KOR,South Korea,KOR.14_1,Jeollanam-do,KOR.14.8_2,Haenam,KOR.14.8.12_2,Samsan,2.0,Fairy Pitta,avibase-0ECBA406,Duryunsan Provincial Park,,,,,,,,,,,,,,
4651809738,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T10:08:44.709+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,33.36925,126.69344,,ASIA,Jejudo,2023,5,27,2023-05-27,147,147,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T10:08:44.709+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1741746344'}],[],[],[],False,,obsr309470,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1741746344,,,,,EBIRD,4651809738,URN:catalog:CLO:EBIRD:OBS1741746344,,OBS1741746344,CLO,,,,,KOR,South Korea,KOR.12_1,Jeju,KOR.12.2_2,Seogwipo,KOR.12.2.11_2,Namwon,1.0,Fairy Pitta,avibase-0ECBA406,남원읍 물영아리오름(Namwon--Mulyeongari Oreum),,,,,,,,,,,,,,
4749954238,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T09:24:24.800+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,33.468346,126.6073,,ASIA,Jejudo,2023,5,27,2023-05-27,147,147,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T09:24:24.800+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1741868014'}],[],[],[],False,,obsr3883938,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1741868014,,,,,EBIRD,4749954238,URN:catalog:CLO:EBIRD:OBS1741868014,,OBS1741868014,CLO,,,,,KOR,South Korea,KOR.12_1,Jeju,KOR.12.1_2,Jeju,KOR.12.1.3_2,Bonggae,1.0,Fairy Pitta,avibase-0ECBA406,"산2 봉개동, 제주시, 제주특별자치도, KR (33.468, 126.607)",,,,,,,,,,,,,,
4791083524,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T08:39:52.301+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,34.780872,128.59927,,ASIA,Kyongsangnam-do,2023,5,28,2023-05-28,148,148,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T08:39:52.301+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1742748264'}],[],[],[],False,,obsr3453366,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1742748264,,,,,EBIRD,4791083524,URN:catalog:CLO:EBIRD:OBS1742748264,,OBS1742748264,CLO,,,,,KOR,South Korea,KOR.10_1,Gyeongsangnam-do,KOR.10.4_2,Geoje,KOR.10.4.2_2,Dongbu,3.0,Fairy Pitta,avibase-0ECBA406,"율포리 157-3, 거제시 KR-경상남도 34.78087, 128.59928",,,,,,,,,,,,,,
4827732770,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T08:39:58.457+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,34.770103,128.6029,,ASIA,Kyongsangnam-do,2023,5,28,2023-05-28,148,148,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T08:39:58.457+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1742818474'}],[],[],[],False,,obsr3886699,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1742818474,,,,,EBIRD,4827732770,URN:catalog:CLO:EBIRD:OBS1742818474,,OBS1742818474,CLO,,,,,KOR,South Korea,KOR.10_1,Gyeongsangnam-do,KOR.10.4_2,Geoje,KOR.10.4.2_2,Dongbu,3.0,Fairy Pitta,avibase-0ECBA406,"율포리 73-13, 거제시 KR-경상남도 34.77010, 128.60290",,,,,,,,,,,,,,
4826795758,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T09:00:11.222+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,33.516865,126.7171,,ASIA,Jejudo,2023,5,28,2023-05-28,148,148,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T09:00:11.222+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1743076839'}],[],[],[],False,,obsr3319248,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1743076839,,,,,EBIRD,4826795758,URN:catalog:CLO:EBIRD:OBS1743076839,,OBS1743076839,CLO,,,,,KOR,South Korea,KOR.12_1,Jeju,KOR.12.1_2,Jeju,KOR.12.1.16_2,Jocheon,2.0,Fairy Pitta,avibase-0ECBA406,제주도 동백동산(Jeju--Dongbaekdongsan/Camellia Hill),,,,,,,,,,,,,,
4675948922,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T10:11:00.693+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,35.57485,129.41357,,ASIA,Ulsan-Kwangyokshi,2023,5,28,2023-05-28,148,148,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T10:11:00.693+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1745821719'}],[],[],[],False,,obsr34603,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1745821719,,,,,EBIRD,4675948922,URN:catalog:CLO:EBIRD:OBS1745821719,,OBS1745821719,CLO,,,,,KOR,South Korea,KOR.17_1,Ulsan,KOR.17.1_2,Buk,KOR.17.1.1_2,Gangdong,1.0,Fairy Pitta,avibase-0ECBA406,Mulcheongcheon Reservoir area,,,,,,,,,,,,,,
